"bin_midpoints" "counts"
"563" 16.69935321805 6
"564" 16.7030850244871 5
"565" 16.7068168309241 8
"566" 16.7105486373612 4
"567" 16.7142804437983 8
"568" 16.7180122502353 4
"569" 16.7217440566724 9
"570" 16.7254758631095 11
"571" 16.7292076695465 11
"572" 16.7329394759836 8
"573" 16.7366712824207 9
"574" 16.7404030888577 3
"575" 16.7441348952948 4
"576" 16.7478667017319 9
"577" 16.7515985081689 8
"578" 16.755330314606 11
"579" 16.7590621210431 5
"580" 16.7627939274801 10
"581" 16.7665257339172 6
"582" 16.7702575403543 11
"583" 16.7739893467913 8
"584" 16.7777211532284 7
"585" 16.7814529596655 5
"586" 16.7851847661025 6
"587" 16.7889165725396 7
"588" 16.7926483789767 5
"589" 16.7963801854137 5
"590" 16.8001119918508 9
"591" 16.8038437982879 4
"592" 16.8075756047249 5
"593" 16.811307411162 8
"594" 16.8150392175991 3
"595" 16.8187710240361 5
"596" 16.8225028304732 5
"597" 16.8262346369103 10
"598" 16.8299664433473 3
"599" 16.8336982497844 4
"600" 16.8374300562215 8
"601" 16.8411618626585 13
"602" 16.8448936690956 8
"603" 16.8486254755327 3
"604" 16.8523572819697 7
"605" 16.8560890884068 8
"606" 16.8598208948439 6
"607" 16.8635527012809 3
"608" 16.867284507718 6
"609" 16.8710163141551 5
"610" 16.8747481205921 7
"611" 16.8784799270292 3
"612" 16.8822117334663 4
"613" 16.8859435399033 8
"614" 16.8896753463404 6
"615" 16.8934071527775 8
"616" 16.8971389592145 8
"617" 16.9008707656516 9
"618" 16.9046025720887 6
"619" 16.9083343785257 5
"620" 16.9120661849628 8
"621" 16.9157979913999 7
"622" 16.9195297978369 8
"623" 16.923261604274 6
"624" 16.9269934107111 7
"625" 16.9307252171481 7
"626" 16.9344570235852 6
"627" 16.9381888300223 5
"628" 16.9419206364593 9
"629" 16.9456524428964 6
"630" 16.9493842493335 5
"631" 16.9531160557705 11
"632" 16.9568478622076 1
"633" 16.9605796686447 9
"634" 16.9643114750817 4
"635" 16.9680432815188 7
"636" 16.9717750879559 6
"637" 16.9755068943929 4
"638" 16.97923870083 10
"639" 16.9829705072671 7
"640" 16.9867023137041 10
"641" 16.9904341201412 8
"642" 16.9941659265783 9
"643" 16.9978977330153 1
"644" 17.0016295394524 8
"645" 17.0053613458895 5
"646" 17.0090931523265 2
"647" 17.0128249587636 5
"648" 17.0165567652007 5
"649" 17.0202885716377 10
"650" 17.0240203780748 6
"651" 17.0277521845119 6
"652" 17.0314839909489 9
"653" 17.035215797386 8
"654" 17.0389476038231 12
"655" 17.0426794102601 4
"656" 17.0464112166972 10
"657" 17.0501430231343 6
"658" 17.0538748295713 9
"659" 17.0576066360084 4
"660" 17.0613384424455 10
"661" 17.0650702488825 9
"662" 17.0688020553196 8
"663" 17.0725338617567 11
"664" 17.0762656681937 8
"665" 17.0799974746308 7
"666" 17.0837292810679 7
"667" 17.0874610875049 5
"668" 17.091192893942 3
"669" 17.0949247003791 12
"670" 17.0986565068161 5
"671" 17.1023883132532 8
"672" 17.1061201196903 12
"673" 17.1098519261273 9
"674" 17.1135837325644 11
"675" 17.1173155390015 8
"676" 17.1210473454385 8
"677" 17.1247791518756 6
"678" 17.1285109583127 12
"679" 17.1322427647497 5
"680" 17.1359745711868 4
"681" 17.1397063776239 4
"682" 17.1434381840609 10
"683" 17.147169990498 8
"684" 17.1509017969351 5
"685" 17.1546336033721 8
"686" 17.1583654098092 5
"687" 17.1620972162463 7
"688" 17.1658290226833 5
"689" 17.1695608291204 6
"690" 17.1732926355575 7
"691" 17.1770244419945 9
"692" 17.1807562484316 11
"693" 17.1844880548687 5
"694" 17.1882198613057 7
"695" 17.1919516677428 10
"696" 17.1956834741799 6
"697" 17.1994152806169 6
"698" 17.203147087054 4
"699" 17.2068788934911 7
"700" 17.2106106999281 3
"701" 17.2143425063652 9
"702" 17.2180743128023 7
"703" 17.2218061192393 8
"704" 17.2255379256764 7
"705" 17.2292697321135 6
"706" 17.2330015385505 6
"707" 17.2367333449876 7
"708" 17.2404651514247 4
"709" 17.2441969578617 7
"710" 17.2479287642988 11
"711" 17.2516605707359 7
"712" 17.2553923771729 11
"713" 17.25912418361 5
"714" 17.2628559900471 5
"715" 17.2665877964841 6
"716" 17.2703196029212 7
"717" 17.2740514093583 4
"718" 17.2777832157953 10
"719" 17.2815150222324 4
"720" 17.2852468286695 4
"721" 17.2889786351065 3
"722" 17.2927104415436 7
"723" 17.2964422479807 4
"724" 17.3001740544177 9
"725" 17.3039058608548 9
"726" 17.3076376672919 9
"727" 17.3113694737289 4
"728" 17.315101280166 7
"729" 17.3188330866031 7
"730" 17.3225648930401 14
"731" 17.3262966994772 10
"732" 17.3300285059143 10
"733" 17.3337603123513 5
"734" 17.3374921187884 7
"735" 17.3412239252255 5
"736" 17.3449557316625 5
"737" 17.3486875380996 9
"738" 17.3524193445367 2
